"Name","Phone","Address","Address Line 2","Email","Work Phone","ID","Notes","Sold","Quantity Sold","Date Created"
"Vitoria Meat Market Medford","7813061200","217 Middlesex Ave, Medford, MA 02155-5033, United States","","","","","Contato - Carlos","2,216.4",2,"08/28/2022"
"Acougue Do Joao ","9785121684","1687 Middlesex St, Lowell, MA 01851-1103, United States","","","9784558405","","Joao","4,209.29",2,"08/28/2022"
"America’s Food Basket","5085103085","1610 Main St, Brockton, MA 02301-7158, United States","","1650main@gmail.com","","","Andréia Juan Carlos",0,"","08/28/2022"
"Amigos Convinience Store","9784527266","791 Central St, Lowell, MA 01852-3429, United States","","","","","Samuel","1,555.69",1,"08/28/2022"
"Beauty Route Dina","7743600549","410 Pleasant St, Brockton, MA 02301-2519, United States","","","5085103463","","Dina",0,"","08/28/2022"
"Beef Market ","5083715582","604 Hollis St, Framingham, MA 01702-8627, United States","","aleehneves86@gmail.com","5088794600","","Cowboy","6,551.89",6,"08/28/2022"
"Belissima Cosmectics ","5087187411","1102 Main St, Brockton, MA 02301-6829, United States","","cellyfontes20@gmail.com","","","Celly","5,522.92",2,"08/28/2022"
"Big Boi Meat Market - Framingham","857883009","428 Waverly St, Framingham, MA 01702, United States","","showmotoscintia@gmail.com","","","Maycon e Roberto",0,"","08/28/2022"
"Big Boi Meat Market - Worcester","5083049161","43 Chandler St, Worcester, MA 01609-2907, United States","","","","","Bruna e Maico",0,"","08/28/2022"
"Big Boi Meat Market - Shrewsbury ","8578883009","264 Boston Tpke, Shrewsbury, MA 01545-2639, United States","","bigboibigmania@gmail.com","","","Maico",0,"","08/28/2022"
"Big Mania Meat Market ","8578883009","1037 Central St, Leominster, MA 01453-4805, United States","","","9782275090","","Maico e Roberto","1,149.64",1,"08/28/2022"
"Brasileirinho Market","5083716772","581 Boston Post Rd E, Marlborough, MA 01752-3702, United States","","","5086547524","","Jardel, Jehany",0,"","08/29/2022"
"Brazil For You - Stoughton ","7818565894","529 Washington St, Stoughton, MA 02072-4207, United States","","evaldoferraz2008@hotmail.com","5083418455","","Evaldo","3,531.41",1,"08/29/2022"
"Brazil Store ","7813167043","95 Church St #9, Pembroke, MA 02359-1927, United States","","","7813167043","","Fabio","699.52",1,"08/29/2022"
"Brazilian Fashion","9782830900","42c Washington St, Gloucester, MA 01930-3530, United States","","","","","Soninha",0,"","08/29/2022"
"Brazilian Hispanic Convenience Store","9788796487","205 Main St, Gloucester, MA 01930-6010, United States","","joliveira1992@hotmail.com","","","Inês",0,"","08/29/2022"
"Brazilian Point ","7815852600","15 Main St, Kingston, MA 02364-2218, United States","","","","","Clovis","1,851.77",3,"08/29/2022"
"Brazuca Convenience Store","6173310299","328 Washington St, Weymouth, MA 02188-2932, United States","","","","","Chicão ","975.74",2,"08/29/2022"
"Brazuka Store","6173874725","170 Main St, Everett, MA 01880-1703, United States","","marines.reis@hotmail.com","","","Marines","3,054.97",2,"08/29/2022"
"Brother’s Market - Marlborough- Enis/Silvana","7742454490","116 Broad St Marlborough, MA 01752-2156, United States","","","5082639511","","Adeido Vera ","4,272.67",2,"08/29/2022"
"Brother’s Market - Framingham ","5088617091","113 Irving St, Framingham, MA 01702-7376, United States","","","","","Rose","6,036.87",4,"08/29/2022"
"Casa Brasil","7816321690","173 Appleton St, Lowell, MA 01852-2506, United States","","limajanaina023@gmail.com","","","Marcelo","648.83",1,"08/29/2022"
"Cape Mart","5087715525","130 Center St, Hyannis, MA 02601-5540, United States","","","","","",0,"","08/29/2022"
"Casa Nova Butcher Shop & Cafe ","7818661988","494a Main St, Woburn, MA 01801-4236, United States","","","","","Mara","5,978.73",4,"08/29/2022"
"Central Street Market ","9785688888","15 Central St, Hudson, MA 01749-1349, United States","","","","","Joci ",0,"","08/29/2022"
"Central Meat Market (Alex)","5084886893","64 Central St, Milford, MA 01757-3300, United States","","","","","Bruno",0,"","08/29/2022"
"Central Woburn Meat Market (Orlando)","7819353800","433 Main St, Woburn, MA 01801-4239, United States","","","","","Orlando",0,"","08/29/2022"
"Cod & Olive Market ","4014475396","450 Prospect St, Pawtucket, RI 02860-6242, United States","","fatima@bacalaoenterprises.com","","","Fatima",0,"","08/29/2022"
"Cornerstone Landscape Supply ","5083801024","890c Boston Post Rd, Marlborough, MA 01752-3723, United States","","","5084600088","","Eduardo",0,"","08/29/2022"
"Cornerstone Landscape Supply Inc ","5083801024","63 Morton St, Framingham, MA 01702-7153, United States","","","5088209700","","Eduardo",0,"","08/29/2022"
"Cowboy Supermarket ","8572583036","769 Main St, Waltham, MA 02472-2128, United States","","","","","Naiara","1,268.4",1,"08/29/2022"
"Delana’s Bakery ","5086244770","44 Main St, Marlborough, MA 01752-3802, United States","","","","","Edinho",0,"","08/29/2022"
