"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Ubre Plus Lata Germa ","Germa","unit","78",0,"3.74","5.6","436.799","291.72","67.2","12","22.32",""
"7896902210912","Amônia Farmax com 12 unidades ","Farmax ","unit","0",0,"13.93","22.9","0","0",0,0,0,""
"","Óleo de Glicerina DLC c/12 2 oz ","De La Cruz","unit","9",0,"14.4","23.4","210.6","129.6","70.2","3","27",""
"","Óleo de Abacate Germa 2 oz - c/12","Germa","unit","3",0,"32.4","45.6","136.8","97.199",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_abacate_germa_2_oz___c_12.webp"
"7896902211063","Óleo de Amêndoas Farmax Display c/12","Farmax ","unit","0",0,"25.9","36.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_am_ndoas_farmax_display_c_12.webp"
"7896902211162","Óleo de Cenoura Farmax Display c/12","Farmax ","unit","32",0,"25.9","36.9","1180.8","828.8","73.8","2","22","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_cenoura_farmax_display_c_12.webp"
"","Óleo de Glicerina Idea Display c/12","Ideal","unit","0",0,"17.2","25.8","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_glicerina_idea_display_c_12.webp"
"","Óleo de Glicerina Farmax Display c/12","Farmax ","unit","0",0,"17.2","29.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_glicerina_farmax_display_c_12.webp"
"","Óleo de Côco Farmax Display c/12","Farmax ","unit","0",0,"19.6","29.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_c_co_farmax_display_c_12.webp"
"","Óleo de Girassol Farmax Display c/12","Farmax ","unit","0",0,"19.6","29.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_girassol_farmax_display_c_12.webp"
"","Solução Fisiológica Farmax 100ml Display c/12","Farmax ","unit","0",0,"11.13","18.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\solu__o_fisiol_gica_farmax_100ml_display_c_12.webp"
"","Solução Fisiológica Farmax 250ml Display c/12","Farmax ","unit","0",0,"18.49","27.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\solu__o_fisiol_gica_farmax_250ml_display_c_12.webp"
"","Óleo Mineral Farmax Display c/12","Farmax ","unit","0",0,"23.94","35.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_mineral_farmax_display_c_12.webp"
"","Óleo de Banana Idea Display c/12","Ideal","unit","0",0,"17.5","26.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_banana_idea_display_c_12.webp"
"7898911689130","Repos Removedor de Cutículas Display c/6","Repos","unit","0",0,"20.99","29.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\repos_removedor_de_cut_culas_display_c_6.webp"
"","Enxada Tramontinha","Acessórios ","unit","0",0,"14.9","21.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\enxada_tramontinha.webp"
"17896902205243","Amolecedor de Cutícula Farmax c/ 12 Unidades ","Farmax ","unit","0",0,"20.9","32.95","0","0",0,0,0,""
"7898911689376","Amaciante de Cutículas e Calosidade Repos com 6 unidades ","Repos","unit","0",0,"23.09","32.49","0","0",0,0,0,""
"","Pinça Enox Diagonal c/6","Acessórios ","unit","40",0,"11.94","17.95","718","477.599","107.7","6","36.06","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\pin_a_enox_diagonal_c_6.webp"
"","Pilão de Alumínio ","Alumínio ","unit","0",0,"5.9","8.85","0","0",0,0,0,""
"7897620001905","Manteiga de Cacau Display c/50","Farmácia ","unit","54",0,"48.59","63.2","3412.8","2623.86","1,872.2","30","464.97",""
"7896234251393","Xarope Canela de Velho ","Suplementos ","unit","0",0,"6.23","8.9","0","0",0,0,0,""
"7898766750375","Xarope Graviola Natuforme 500ml","Suplementos ","unit","83",0,"4.9","7.95","659.85","406.700",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\xarope_graviola_natuforme_500ml.webp"
"","Silicon Mix Oleo Rejenerador 4oz","Silicon Mix","unit","162",0,"3.9","6.95","1125.9","631.8",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\silicon_mix_oleo_rejenerador_4oz.webp"
"","Lixa de Pé Darhma c/ 12","Produtos de Unha ","unit","29",0,"21.59","30.25","877.25","626.11","181.5","6","51.96","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lixa_de_p__darhma_c__12.webp"
"","Po Descolorante Camomila Farmax 50g","Farmax ","unit","0",0,"19.27","29.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\po_descolorante_camomila_farmax_50g.webp"
"","Filtro São João 6 Litros ","Diversos","unit","0",0,"44.03","62","0","0",0,0,0,""
"","Seiva de Alfazema ","Óleo ","unit","0",0,"5.53","8.29","0","0",0,0,0,""
"","Algodão Apólo 25g c/ 20 Unidades ","Farmácia ","unit","8",0,"16.8","24.95","199.6","134.4","49.9","2","16.3",""
"","Cuscuzeira Pequena 2 em 1 - unidade","Alumínio ","unit","27",0,"15.29","21.4","577.8","412.83","561.05","28","171.43","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\cuscuzeira_pequena_2_em_1___unidade.webp"
"","Volia Fibra de Vidro ","Produtos de Unha ","unit","0",0,"9.79","13.75","0","0",0,0,0,""
"","Sacola de Chup-Chup","Diversos","unit","0",0,"6.99","10.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\sacola_de_chup_chup.webp"
"","Silicon Mix Perla Tratamento 16oz","Silicon Mix","unit","0",0,"4.25","6.15","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\silicon_mix_perla_tratamento_16oz.webp"
"","Silicon Mix Perla Tratamento 8oz","Silicon Mix","unit","18",0,"2.55","3.85","69.3","45.9","92.4","24","31.2","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\silicon_mix_perla_tratamento_8oz.webp"
"","Silicon Mix Perla Tratamento 36oz","Silicon Mix","unit","0",0,"6.4","9.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\silicon_mix_perla_tratamento_36oz.webp"
"","Silicon Mix Argan Tratamento 8oz","Silicon Mix","unit","68",0,"2.85","4.27","290.359","193.8","51.24","12","17.04","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\silicon_mix_argan_tratamento_8oz.webp"
"","Super Termochá 120G","Chás ","unit","84",0,"2.79","5.95","499.8","234.36",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\super_termoch__120g.webp"
"","Algodão Apólo 50g c/ 20 Unidades ","Farmácia ","unit","10",0,"26.46","39.7","397","264.6","158.8","4","52.96",""
"7865599843710","Chá Líquido de Rins 500ml","Suplementos ","unit","0",0,"4.19","6.29","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\ch__l_quido_de_rins_500ml.webp"
"7898957390106","Vita Seiva Óleo de Rícino c/12","Vita Seiva","unit","0",0,"27.15","38.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\vita_seiva__leo_de_r_cino_c_12.webp"
"","Óleo de Rícino/Babosa Veganos ","Produtos de Cabelo","unit","0",0,"2.79","5.99","0","0",0,0,0,""
"","Sol Natus Chá Alfafa","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\sol_natus_ch__alfafa.webp"
"","Sol Natus Chá Angico ","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0,""
"","Sol Natus Chá Anis Estrelado ","Chás ","unit","0",0,"25.19","34.19","0","0","307.71","9","81",""
"","Sol Natus Cha Guaçatonga ","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0,""
"","Sol Natus Cha Jaborandi","Chás ","unit","218",0,"15.82","22.25","4850.5","3448.76","22.25","1","6.43","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\sol_natus_cha_jaborandi.webp"
