"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Ubre Plus Lata Germa ","Germa","unit","78",0,"3.74","5.6","436.799","291.72","67.2","12","22.32"
"7896902210912","Amônia Farmax com 12 unidades ","Farmax ","unit","0",0,"13.93","22.9","0","0",0,0,0
"","Óleo de Glicerina DLC c/12 2 oz ","De La Cruz","unit","9",0,"14.4","23.4","210.6","129.6","70.2","3","27"
"","Óleo de Abacate Germa 2 oz - c/12","Germa","unit","3",0,"32.4","45.6","136.8","97.199",0,0,0
"7896902211063","Óleo de Amêndoas Farmax Display c/12","Farmax ","unit","0",0,"25.9","36.9","0","0",0,0,0
"7896902211162","Óleo de Cenoura Farmax Display c/12","Farmax ","unit","32",0,"25.9","36.9","1180.8","828.8","73.8","2","22"
"","Óleo de Glicerina Idea Display c/12","Ideal","unit","0",0,"17.2","25.8","0","0",0,0,0
"","Óleo de Glicerina Farmax Display c/12","Farmax ","unit","0",0,"17.2","29.9","0","0",0,0,0
"","Óleo de Côco Farmax Display c/12","Farmax ","unit","0",0,"19.6","29.9","0","0",0,0,0
"","Óleo de Girassol Farmax Display c/12","Farmax ","unit","0",0,"19.6","29.9","0","0",0,0,0
"","Solução Fisiológica Farmax 100ml Display c/12","Farmax ","unit","0",0,"11.13","18.95","0","0",0,0,0
"","Solução Fisiológica Farmax 250ml Display c/12","Farmax ","unit","0",0,"18.49","27.75","0","0",0,0,0
"","Óleo Mineral Farmax Display c/12","Farmax ","unit","0",0,"23.94","35.95","0","0",0,0,0
"","Óleo de Banana Idea Display c/12","Ideal","unit","0",0,"17.5","26.9","0","0",0,0,0
"7898911689130","Repos Removedor de Cutículas Display c/6","Repos","unit","0",0,"20.99","29.95","0","0",0,0,0
"","Enxada Tramontinha","Acessórios ","unit","0",0,"14.9","21.9","0","0",0,0,0
"17896902205243","Amolecedor de Cutícula Farmax c/ 12 Unidades ","Farmax ","unit","0",0,"20.9","32.95","0","0",0,0,0
"7898911689376","Amaciante de Cutículas e Calosidade Repos com 6 unidades ","Repos","unit","0",0,"23.09","32.49","0","0",0,0,0
"","Pinça Enox Diagonal c/6","Acessórios ","unit","40",0,"11.94","17.95","718","477.599","107.7","6","36.06"
"","Pilão de Alumínio ","Alumínio ","unit","0",0,"5.9","8.85","0","0",0,0,0
"7897620001905","Manteiga de Cacau Display c/50","Farmácia ","unit","54",0,"48.59","63.2","3412.8","2623.86","1,872.2","30","464.97"
"7896234251393","Xarope Canela de Velho ","Suplementos ","unit","0",0,"6.23","8.9","0","0",0,0,0
"7898766750375","Xarope Graviola Natuforme 500ml","Suplementos ","unit","83",0,"4.9","7.95","659.85","406.700",0,0,0
"","Silicon Mix Oleo Rejenerador 4oz","Silicon Mix","unit","162",0,"3.9","6.95","1125.9","631.8",0,0,0
"","Lixa de Pé Darhma c/ 12","Produtos de Unha ","unit","29",0,"21.59","30.25","877.25","626.11","181.5","6","51.96"
"","Po Descolorante Camomila Farmax 50g","Farmax ","unit","0",0,"19.27","29.9","0","0",0,0,0
"","Filtro São João 6 Litros ","Diversos","unit","0",0,"44.03","62","0","0",0,0,0
"","Seiva de Alfazema ","Óleo ","unit","0",0,"5.53","8.29","0","0",0,0,0
"","Algodão Apólo 25g c/ 20 Unidades ","Farmácia ","unit","8",0,"16.8","24.95","199.6","134.4","49.9","2","16.3"
"","Cuscuzeira Pequena 2 em 1 - unidade","Alumínio ","unit","27",0,"15.29","21.4","577.8","412.83","561.05","28","171.43"
"","Volia Fibra de Vidro ","Produtos de Unha ","unit","0",0,"9.79","13.75","0","0",0,0,0
"","Sacola de Chup-Chup","Diversos","unit","0",0,"6.99","10.95","0","0",0,0,0
"","Silicon Mix Perla Tratamento 16oz","Silicon Mix","unit","0",0,"4.25","6.15","0","0",0,0,0
"","Silicon Mix Perla Tratamento 8oz","Silicon Mix","unit","18",0,"2.55","3.85","69.3","45.9","92.4","24","31.2"
"","Silicon Mix Perla Tratamento 36oz","Silicon Mix","unit","0",0,"6.4","9.75","0","0",0,0,0
"","Silicon Mix Argan Tratamento 8oz","Silicon Mix","unit","68",0,"2.85","4.27","290.359","193.8","51.24","12","17.04"
"","Super Termochá 120G","Chás ","unit","84",0,"2.79","5.95","499.8","234.36",0,0,0
"","Algodão Apólo 50g c/ 20 Unidades ","Farmácia ","unit","10",0,"26.46","39.7","397","264.6","158.8","4","52.96"
"7865599843710","Chá Líquido de Rins 500ml","Suplementos ","unit","0",0,"4.19","6.29","0","0",0,0,0
"7898957390106","Vita Seiva Óleo de Rícino c/12","Vita Seiva","unit","0",0,"27.15","38.9","0","0",0,0,0
"","Óleo de Rícino/Babosa Veganos ","Produtos de Cabelo","unit","0",0,"2.79","5.99","0","0",0,0,0
"","Sol Natus Chá Alfafa","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0
"","Sol Natus Chá Angico ","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0
"","Sol Natus Chá Anis Estrelado ","Chás ","unit","0",0,"25.19","34.19","0","0","307.71","9","81"
"","Sol Natus Cha Guaçatonga ","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0
"","Sol Natus Cha Jaborandi","Chás ","unit","218",0,"15.82","22.25","4850.5","3448.76","22.25","1","6.43"
"","Sol Natus Cha Nogueira ","Chás ","unit","0",0,"13.85","19.95","0","0",0,0,0
"","Sol Natus Gengibre Desidratado ","Chás ","unit","0",0,"13.85","20.75","0","0",0,0,0
"","Evo Beauty Garlic Gotero 4oz","Produtos de Cabelo","unit","24",0,"8.9","14.45","346.799","213.600",0,0,0
"","Evo Beauty Onion Leave-In 8oz","Produtos de Cabelo","unit","24",0,"5.6","7.95","190.8","134.399",0,0,0
"17896229909640","Natuhair Oleo Capilar CBA c/6","Produtos de Cabelo","unit","0",0,"16.75","26.95","0","0",0,0,0
"","Cortador de Unha Merheje Disco c/ 12 Unidades ","Produtos de Unha ","unit","3",0,"12.59","18.9","56.699","37.769",0,0,0
"0000856105508","Mata Fungos Unha ","Farmácia ","unit","0",0,"4.65","6.95","0","0",0,0,0
"","Sal Andrews Classic c/ 50 Envelopes ","Farmácia ","unit","0",0,"15","29.9","0","0",0,0,0
"27898522372739","Depilflax Folhas Facial c/ 24 Folhas ","Depilação ","unit","0",0,"3.49","5.25","0","0",0,0,0
"","Colgate Escova de Dente Médium Display c/ 12","Higiene Pessoal","unit","10",0,"7.8","11.65","116.5","78","69.9","6","23.1"
"","Bactimicina Lozenges - 3 cartelas com 6 pastilhas ","De La Cruz","unit","0",0,"3.49","5.45","0","0",0,0,0
"0024286150518","Super Macho ","De La Cruz","unit","0",0,"6.15","9.49","0","0",0,0,0
"0011418218604","Tabcin Gripe e Tosse 64/1","Farmácia ","unit","0",0,"18","25.2","0","0",0,0,0
"7702011111951","Lollipop de Maracujá Colombina c/24","Balas","unit","0",0,"2.15","3.29","0","0",0,0,0
"7702011110800","Lollipop de Morango Colombina c/24","Balas","unit","0",0,"2.4","3.6","0","0",0,0,0
"7702011110794","Lollipop Sortido Colombina c/24 ","Balas","unit","0",0,"2.4","3.6","0","0",0,0,0
"7702993031957","Lollipop de Coco Colombina c/24 ","Balas","unit","0",0,"2.5","3.75","0","0",0,0,0
"","Pilão de Alumínio Heavy Duty ","Alumínio ","unit","16",0,"7.75","12.75","204","124","63.75","5","25"
"","Repos Creme Mãos e Pés com Ureia","Higiene Pessoal","unit","0",0,"27.29","38.49","0","0",0,0,0
"7898281133196","Rolo de Depilar Belle Depil 50m","Depilação ","unit","0",0,"6.65","9.98","0","0",0,0,0
"","Angels Intimus Gel 16oz - unidade ","Higiene Pessoal","unit","135",0,"4.7","6.99","943.65","634.5",0,0,0
"","Filtro São João 8 litros","Diversos","unit","0",0,"46.9","69.9","0","0",0,0,0
"7896902218413","Óleo Semente de Uva 30ml c/ 12","Farmax ","unit","0",0,"8.9","14.49","0","0",0,0,0
"7898906795068","Xarope Agrião Farmel","Suplementos ","unit","0",0,"2.92","5.9","0","0",0,0,0
"","Depilsam Lenços de Depilação c/ 100 Lenços","Depilação ","unit","0",0,"2.94","4.75","0","0",0,0,0
"7898213880686","Bala Própolis Natus Minas - pote com 25 bags ","Balas","unit","0",0,"27.99","39.99","0","0",0,0,0
"","Volia Oleo de Melon Hidratante de Cutícula ","Produtos de Unha ","unit","0",0,"6.29","8.95","0","0",0,0,0
"7898964247097","Volia Primer Nail Bonder ","Produtos de Unha ","unit","0",0,"6.47","9.15","0","0",0,0,0
"","Volia Desidratador de Unhas ","Produtos de Unha ","unit","0",0,"4.01","5.65","0","0",0,0,0
"","Volia Top Coat Selante Brilho","Produtos de Unha ","unit","0",0,"10.23","14.5","0","0",0,0,0
"","Volia Top Coat Selante Silver ","Produtos de Unha ","unit","0",0,"10.23","14.5","0","0",0,0,0
"","Novex Super Aloe Vera Condicionador 10oz","Novex ","unit","90",0,"2.25","3.4","306","202.5","20.4","6","6.9"
"","Novex Super Aloe Vera Hair Mask 1kg ","Novex ","unit","54",0,"4.75","7.15","386.1","256.5",0,0,0
"","Novex Super Aloe Vera Hair Mask 14oz","Novex ","unit","10",0,"2.4","3.6","36","24",0,0,0
